x1,x2,y
[2.01070079],[0.24401342],1
[-0.75464061],[0.97459062],1
[-0.49148599],[1.16960577],1
[1.82696168],[-0.60626602],0
[-1.89772353],[0.38253635],1
[-2.14309269],[0.22118771],1
[0.88620711],[-0.93236106],0
[-0.77419245],[0.95944419],1
[-2.0782308],[0.49843987],1
[0.84291879],[0.83377965],1
[1.15869782],[0.84937585],1
[2.05081475],[-0.05189799],0
[-0.99158378],[0.73751906],1
[-2.07806581],[-0.26532602],0
[-1.56939915],[0.67124817],1
[2.2920645],[0.16931303],1
[1.74478382],[-0.43420758],0
[-1.988203],[0.09308195],1
[-2.32660323],[0.22479866],1
[0.01768355],[-0.87373141],0
[-1.70500775],[-0.43028414],0
[1.76239005],[0.21388741],1
[1.61328272],[0.63477002],1
[0.88151696],[-0.86859713],0
[-1.2527511],[0.65944254],1
[1.83926063],[0.36774688],1
[-1.92985576],[0.20206989],1
[-0.56532937],[0.78746635],1
[-1.25855718],[0.90207395],1
[-2.25107821],[-0.02254628],1
[1.94098279],[-0.1063201],0
[1.84192739],[0.30387155],1
[1.90112356],[-0.74057623],0
[1.8381725],[-0.61001934],0
[1.51237174],[0.6485924],1
[2.18276078],[0.3142126],1
[2.15490522],[-0.81430642],0
[-0.36764516],[-0.98161959],0
[-2.10384294],[0.29377483],1
[-0.34732844],[0.7226164],1
[-0.8187241],[-0.964562],0
[2.37028054],[0.04975924],0
[-1.58882815],[0.79044942],1
[-1.34572814],[0.66028958],1
[-1.77586129],[0.65100932],1
[0.23491723],[-1.09498159],0
[-0.08663806],[0.9478115],1
[-2.09030001],[0.55854171],1
[-0.06937441],[1.08205895],1
[-1.62034209],[0.42512549],1
[-0.43052021],[-1.09637439],0
[0.98929108],[-0.83784396],0
[1.44377843],[-0.59638183],0
[1.71591813],[0.86110864],1
[1.84452502],[-0.62238046],0
[1.27259183],[0.65720727],1
[0.75840177],[-0.92244877],0
[0.80672488],[-1.02325807],0
[-1.92137207],[-0.5867401],0
[0.87241455],[0.70782471],1
[-1.21685479],[0.76989974],1
[0.52500851],[0.98077673],1
[1.981607],[-0.52674483],0
[0.45491393],[-1.0656747],0
[-1.75466034],[-0.71299215],0
[0.99762428],[-1.02660412],0
[1.90992161],[-0.10550411],0
[-1.05711758],[-0.74871697],0
[1.68921808],[0.65357015],1
[-0.61196734],[-1.20044905],0
[0.89933187],[0.8242769],1
[-1.69954047],[0.17438707],1
[-0.58126332],[0.75925635],1
[-2.28825589],[0.1427153],1
[-0.25183024],[-0.99523847],0
[-1.63449662],[0.75045901],1
[-0.29038896],[-0.92107041],0
[-0.62672655],[0.9067851],1
[1.64724766],[0.51354963],1
[2.12130398],[-0.17475616],0
[-0.54310474],[0.92455951],1
[1.17580605],[-0.79378948],0
[0.78045687],[0.85121651],1
[0.80601273],[1.01024541],1
[-0.8341132],[-0.81453294],0
[2.17452699],[0.18355284],1
[1.92302858],[0.2079913],1
[-1.25582682],[-0.93301047],0
[1.27763923],[-0.82451865],0
[-0.70345876],[0.87006959],1
[1.35340221],[-0.63938989],0
[-1.97792708],[0.5951834],1
[1.41252605],[-0.82007881],0
[-1.09307467],[0.78867001],1
[2.04917242],[-0.48765657],0
[2.15817568],[0.37748127],1
[1.53555718],[0.66438816],1
[0.55131405],[-1.09186603],0
[1.8946671],[0.43177456],1
[1.88485013],[0.42185145],1
[-1.2142277],[0.88326548],1
[-1.60095102],[0.67553534],1
[2.1641743],[-0.20327824],0
[1.32673393],[0.57061125],1
[0.97167614],[-0.9195738],0
[0.6678638],[-0.93127241],0
[1.40680711],[0.55597349],1
[0.85797945],[-0.7047764],0
[-2.12692082],[-0.08883178],0
[-1.42911393],[-0.84416274],0
[1.73454659],[0.18350236],1
[-0.52922804],[-1.00052833],0
[-0.3121261],[-1.12888577],0
[0.55923703],[1.18458152],1
[1.30695619],[-0.89579728],0
[-1.40816783],[-0.39026398],0
[1.00540563],[-0.92119884],0
[1.85797627],[-0.38796321],0
[-0.54368208],[-0.86377289],0
[-1.71630989],[-0.57761373],0
[1.56723072],[-0.74899982],0
[-0.52053375],[0.94392823],1
[-1.52625696],[-0.75023632],0
[-0.85981337],[-0.88521486],0
[0.12996779],[-0.73028909],0
[-2.20231346],[-0.23480476],0
[-0.90576761],[-0.78567881],0
[-1.50271692],[0.63501964],1
[-0.52333998],[-1.06343592],0
[0.07079774],[1.00829526],1
[1.55738447],[0.90601419],1
[-1.1012205],[0.82459472],1
[0.74774888],[0.80180097],1
[1.09390975],[0.84230306],1
[-1.84092804],[-0.57371165],0
[-1.38257649],[-0.88753548],0
[-2.04396361],[-0.3493568],0
[-2.06769726],[-0.34775502],0
[2.25030592],[0.19459154],1
[1.83781407],[-0.74537154],0
[2.13606133],[0.58523307],1
[-0.33326135],[-1.07518455],0
[0.3348466],[-0.96376193],0
[1.40324097],[-0.78369081],0
[-0.79547688],[0.80989011],1
[-1.731708],[0.74793928],1
[-2.40360794],[-0.18710879],0
[0.26946659],[-0.94705285],0
[0.22573287],[1.21207365],1
[-0.63072126],[1.00160857],1
[-1.3067856],[-0.79135172],0
[-1.89307139],[0.38612569],1
[2.13858693],[0.16744401],1
[1.28440262],[-0.82267244],0
[-1.71840745],[-0.17626906],0
[0.05827124],[0.82368262],1
[0.24151543],[0.90564306],1
[2.54445197],[-0.02697023],1
[0.83584836],[-0.95289738],0
[-1.78910508],[-0.66183523],0
[-1.78793531],[-0.40050738],0
[1.30979208],[0.79445005],1
[-1.66970259],[0.56634123],1
[-1.61938337],[0.49167364],1
[1.2119235],[0.63898957],1
[-0.67678314],[-1.01349607],0
[-1.40891248],[0.64999723],1
[-1.50470377],[-0.52725476],0
[0.27647293],[-0.86337629],0
[1.86971731],[0.07749375],1
[-1.82944881],[-0.6186065],0
[-0.68074934],[-0.83853321],0
[2.23309815],[0.40673039],1
[-1.53043275],[-0.71097421],0
[-1.91105903],[0.62766086],1
[-0.30146762],[1.09937444],1
[1.3652972],[0.61769713],1
[-1.65611145],[0.53213501],1
[-0.90060571],[0.91206023],1
[-0.80198956],[0.89290539],1
[-1.99234694],[0.13420332],1
[-1.42150644],[0.48297136],1
[-0.47439025],[0.90625425],1
[-0.71735035],[-1.04912131],0
[1.5624684],[-0.57752114],0
[-1.94950218],[-0.18799268],0
[-2.07717111],[0.27264377],1
[2.04241677],[0.05234091],1
[-2.11204077],[0.59714383],1
[1.01895821],[-0.8148107],0
[-1.45805568],[-0.31991095],0
[0.70169376],[-1.06079322],0
[-1.67672958],[0.71496505],1
[0.69832279],[1.04449404],1
[-1.56626191],[-0.59085269],0
[1.0830755],[-0.86360361],0
[0.77877181],[0.88628153],1
[1.9793986],[0.44802168],1
[1.92228283],[0.19764159],1
[1.48389647],[-0.75959131],0
[2.20424241],[0.14199751],1
[2.21180288],[-0.08975334],0
[1.76744063],[0.55088982],1
[1.24733461],[-0.88443033],0
[-0.08953035],[0.88868895],1
[-1.95559689],[0.34362106],1
[1.96547428],[0.13158372],1
[-1.63372246],[0.16116542],1
[-1.39270881],[0.67400337],1
[1.90454891],[-0.30510943],0
[-1.80910281],[-0.65974186],0
[-2.05898301],[0.52586162],1
[2.00600482],[0.13505923],1
[1.59399152],[-0.75778585],0
[1.85484825],[0.7039087],1
[-1.45703937],[-0.89567703],0
[1.46730192],[0.69469282],1
[1.9585782],[-0.37822634],0
[-1.24496211],[-0.76366509],0
[1.73513166],[0.40649214],1
[-1.98658401],[0.56519274],1
[0.25124497],[-1.07266276],0
[-1.78618436],[0.12361288],1
[2.32581111],[-0.31016322],0
[1.510516],[0.83196192],1
[-2.20345537],[0.118551],1
[-1.40961836],[-0.61996924],0
[-2.35970053],[-0.30369554],0
[-1.87320725],[-0.1776223],0
[2.21318022],[-0.22841103],0
[0.09542028],[0.88052123],1
[0.51210782],[-0.93920766],0
[-2.07036861],[-0.17635038],0
[1.52233416],[-0.77194228],0
[-0.9350621],[0.86996593],1
[-1.42055812],[-0.81075226],0
[-1.67643003],[-0.68464568],0
[-0.12810387],[1.09020639],1
[-0.88230565],[0.72245228],1
[-1.93652363],[0.4785601],1
[-0.6644299],[-0.91637568],0
[2.13878091],[-0.09254594],0
[0.43554365],[-1.08398923],0
[-1.51279596],[-0.47662642],0
[-1.98093376],[-0.03612158],0
[0.13819333],[0.8382986],1
[-1.89751799],[-0.46007389],0
[2.00526189],[-0.42921572],0
[0.3030928],[-0.89301968],0
[0.08290537],[-1.01367988],0
[0.64497275],[0.91594811],1
[-1.02612091],[-0.72692986],0
[1.64508828],[0.70943104],1
[1.77980586],[0.46710133],1
[1.58118373],[-0.22216728],0
[1.9013993],[0.17814273],1
[-1.49675142],[-0.52069543],0
[-0.8032021],[-0.97947812],0
[-2.23144602],[0.28279306],1
[-0.83357425],[-0.90539298],0
[0.82698176],[0.81188279],1
[-2.10305196],[-0.53465424],0
[-0.98003961],[-1.10293105],0
[0.93683167],[-0.94605146],0
[-0.33132761],[-0.89819542],0
