¿œΩ√,∆Ú±’±‚ø¬,√÷¥Î«≥º”,∆Ú±’«≥º”
2010-08-01,28.7,8.3,3.4
2010-08-02,25.2,8.7,3.8
2010-08-03,22.1,6.3,2.9
2010-08-04,25.3,6.6,4.2
2010-08-05,27.2,9.1,5.6
2010-08-06,26.8,9.8,8
2010-08-07,27.5,9.1,5
2010-08-08,26.6,5.9,4
2010-08-09,26.9,5.1,3.1
2010-08-10,25.6,10.2,5.5
2010-08-11,24.6,9.4,4.8
2010-08-12,23.7,8.7,2.6
2010-08-13,24.3,10.9,4.6
2010-08-14,25,10.8,4.4
2010-08-15,24.5,16.9,10.3
2010-08-16,26.2,9.8,3.2
2010-08-17,23.9,4.2,1.6
2010-08-18,23.4,4.2,2.1
2010-08-19,24.3,4,1.9
2010-08-20,25.4,5,3.2
2010-08-21,27.8,7.6,4.2
2010-08-22,28.3,5.9,2.5
2010-08-23,28.9,9.3,6.2
2010-08-24,27.5,8.3,3
2010-08-25,24.7,6.8,1.9
2010-08-26,25.8,4.3,2.5
2010-08-27,26.4,2.7,1.6
2010-08-28,26.7,4.6,2.3
2010-08-29,27.3,8.6,4.9
2010-08-30,26.2,10.5,6.2
2010-08-31,26.6,6.8,4.2
2010-09-01,27,5.9,2.6
2010-09-02,25,13,5.3
2010-09-03,24.2,4,1.7
2010-09-04,26.5,4.7,3.2
2010-09-05,27.2,6.1,3.3
2010-09-06,23.1,9.4,4.3
2010-09-07,20.7,12.7,7.6
2010-09-08,19.7,11.1,6.6
2010-09-09,22.2,4.8,2.5
2010-09-10,24.8,11.1,7.2
2010-09-11,22.8,14,3.8
2010-09-12,22.2,4.2,1.8
2010-09-13,20.1,9.2,3.9
2010-09-14,20.8,5,1.6
2010-09-15,21.3,4.9,2.2
2010-09-16,21.9,2.7,1.2
2010-09-17,22.4,3.8,2.2
2010-09-18,23.6,7.1,3
2010-09-19,20.7,9.4,3.5
2010-09-20,20.8,8.5,2.8
2010-09-21,21.9,11.5,3.6
2010-09-22,15.4,11.7,7.9
2010-09-23,16.1,10,5.8
2010-09-24,17.5,6.9,4.1
2010-09-25,16.7,8.4,6.1
2010-09-26,17.7,4,1.8
2010-09-27,18.8,6.8,2.8
2010-09-28,16.8,12.3,5.6
2010-09-29,17,4,2.1
2010-09-30,18.8,4,2.2
2010-10-01,18.7,6.2,3.3
2010-10-02,19.5,6.3,3.2
2010-10-03,20.2,10.6,5.9
2010-10-04,17.3,9.1,5
2010-10-05,15.4,8.7,5.1
2010-10-06,16.3,5.1,3.1
2010-10-07,17.6,5.8,3.4
2010-10-08,17.7,6.5,3.7
2010-10-09,17.3,7.8,2.7
2010-10-10,17.4,5.9,2.6
2010-10-11,18.9,7.7,3.1
2010-10-12,18.9,7.5,2.5
2010-10-13,15.6,7,5
2010-10-14,16,6.7,3.2
2010-10-15,15.4,8.2,2.9
2010-10-16,16.7,7.3,4.5
2010-10-17,16.4,6.7,2.9
2010-10-18,15.6,5.8,2.9
2010-10-19,17.2,4.5,2.1
2010-10-20,14.9,6.2,3.9
2010-10-21,13.9,9.4,6.3
2010-10-22,13.8,6.7,3.9
2010-10-23,15.4,3.6,2
2010-10-24,17.8,5.9,3
2010-10-25,12.1,11.3,6.1
2010-10-26,4.1,13.6,7.1
2010-10-27,6.6,7.5,4
2010-10-28,9.6,6.7,3.5
2010-10-29,10.9,8.7,5.8
2010-10-30,11.6,8.8,6.6
2010-10-31,12.3,9.5,7.2
2010-11-01,12,10.6,5.6
2010-11-02,8.5,8.8,3.5
2010-11-03,9.7,6.3,3.2
2010-11-04,12.6,6.7,2.9
2010-11-05,13.5,6.6,3.2
2010-11-06,14.6,5.4,3.3
